"Ticker","Sector","Market Cap","Return on Equity","LT Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)"
"FSLR","Technology",3934.83,12.40%,0.03,29.30%,17.60%,17.50%,-23.87%,-44.81%,-20.94%
"FTI","Basic Materials",6252.03,6.20%,0.49,21.50%,5.20%,3.00%,0.14%,4.50%,-17.88%
"FTR","Technology",5325.72,-10.30%,3.34,63.90%,11.10%,-8.20%,-10.30%,-18.07%,-10.47%
"FTV","Technology",18187.63,,1.42,48.30%,,,,,
"GD","Industrial Goods",46658.26,27.60%,0.26,19.60%,13.40%,9.50%,10.22%,17.58%,9.60%
"GE","Industrial Goods",284081.92,11.90%,1.47,22.80%,9.50%,9.70%,4.67%,4.08%,31.80%
"GGP","Financial",25657.46,8.50%,1.70,69.90%,36.60%,28.20%,9.41%,3.32%,16.32%
"GILD","Healthcare",102168.36,100.80%,1.38,87.10%,63.00%,50.50%,-11.73%,-13.33%,-23.13%
"GIS","Consumer Goods",42443.40,34.70%,1.43,35.30%,16.30%,10.20%,12.32%,20.64%,26.83%
"GLW","Technology",24113.43,13.00%,0.23,38.90%,10.10%,24.40%,8.77%,17.84%,35.45%
"GM","Consumer Goods",49669.19,31.30%,1.24,13.20%,5.30%,7.90%,8.60%,4.39%,15.89%
"GOOG","Technology",525298.70,,,,,,7.66%,10.98%,27.25%
"GOOGL","Technology",536134.13,14.70%,0.02,62.10%,26.20%,22.00%,9.15%,11.79%,25.09%
"GPC","Services",15339.84,21.90%,0.08,29.80%,7.30%,4.60%,6.64%,10.18%,28.95%
"GPN","Services",11809.76,21.00%,1.59,60.40%,14.70%,9.40%,-1.06%,26.12%,37.60%
"GPS","Services",9769.88,27.90%,0.52,35.60%,8.20%,4.60%,26.94%,-17.21%,-24.85%
"GRMN","Technology",9228.38,15.10%,0.00,54.50%,19.90%,17.30%,15.32%,23.52%,37.96%
"GS","Financial",68325.03,6.30%,3.51,72.50%,20.70%,13.70%,8.14%,9.78%,-7.13%
"GT","Consumer Goods",7848.72,6.80%,1.37,26.80%,5.30%,1.80%,9.73%,-8.01%,1.03%
"GWW","Services",13814.90,30.60%,0.83,41.20%,12.10%,6.80%,1.27%,3.77%,6.68%
"HAL","Basic Materials",37208.41,-42.50%,1.25,7.70%,-36.50%,-30.50%,-3.09%,21.89%,15.88%
"HAR","Consumer Goods",6133.32,14.90%,0.54,30.30%,8.40%,5.20%,8.18%,7.26%,-10.46%
"HAS","Consumer Goods",10236.07,30.10%,0.96,61.70%,15.80%,10.40%,-3.25%,6.78%,10.54%
"HBAN","Financial",7959.59,10.00%,1.21,,85.70%,28.70%,-4.14%,6.14%,-3.94%
"HBI","Consumer Goods",10019.33,43.30%,3.30,37.50%,12.50%,8.60%,-2.83%,-9.38%,-10.28%
"HCA","Healthcare",28459.43,-31.20%,,83.40%,14.10%,5.90%,-2.75%,4.89%,-11.45%
"HCN","Financial",27355.82,4.90%,0.97,,29.40%,16.00%,11.08%,17.35%,28.18%
"HCP","Financial",18253.64,-0.70%,1.07,73.30%,14.20%,-2.50%,18.68%,24.17%,13.76%
"HD","Services",166910.24,110.50%,3.14,34.20%,13.80%,8.10%,5.15%,8.82%,18.27%
"HES","Basic Materials",16882.09,-14.80%,0.32,76.60%,-76.50%,-57.10%,-11.60%,8.72%,-5.76%
"HIG","Financial",15704.91,7.40%,0.25,,9.70%,7.30%,-7.28%,-5.64%,-8.75%
"HOG","Consumer Goods",9456.39,34.30%,2.63,40.20%,17.70%,11.70%,17.77%,14.03%,-2.00%
"HOLX","Healthcare",10669.58,12.70%,1.51,54.70%,17.30%,9.40%,11.66%,10.69%,0.21%
"HON","Industrial Goods",88840.49,27.00%,0.51,31.30%,17.20%,12.60%,1.25%,9.42%,20.68%
"HOT","Services",13122.92,8.00%,13.68,26.90%,13.00%,1.50%,2.99%,9.84%,10.93%
"HP","Basic Materials",6516.17,-0.10%,0.10,45.50%,2.70%,-0.30%,-5.98%,-2.18%,15.56%
"HPE","Technology",38312.25,6.40%,0.48,28.90%,2.40%,4.20%,17.51%,39.49%,
"HPQ","Technology",24803.84,94.10%,,18.90%,7.70%,6.90%,6.98%,29.30%,17.68%
"HRB","Services",4773.48,-188.80%,,46.80%,20.60%,11.60%,1.22%,-21.70%,-37.13%
"HRL","Consumer Goods",20246.11,19.80%,0.06,22.10%,13.50%,9.00%,13.53%,-10.79%,27.65%
"HRS","Technology",11626.93,9.80%,1.35,31.30%,10.50%,4.30%,15.77%,19.60%,26.86%
"HSIC","Services",13330.49,16.80%,0.24,28.10%,6.70%,4.40%,-7.03%,-1.69%,21.56%
"HST","Financial",13045.49,11.00%,0.52,,12.30%,14.30%,12.56%,6.10%,4.34%
"HSY","Consumer Goods",21220.41,86.40%,2.16,45.20%,16.60%,10.10%,7.02%,8.71%,12.86%
"HUM","Healthcare",26490.62,9.30%,0.35,,4.10%,1.80%,-6.21%,-3.44%,-2.02%
"IBM","Technology",152494.70,82.00%,2.52,48.90%,14.70%,14.90%,5.37%,15.93%,12.88%
"ICE","Financial",33881.98,9.80%,0.31,,50.20%,35.30%,8.24%,22.65%,26.31%
"IFF","Basic Materials",11013.57,25.90%,0.81,45.30%,19.90%,13.70%,8.36%,31.81%,29.46%
